branch_id,ending,macro_topic_name,toxicity,stance,cross_partisan
64,disagreement,Media Bias,0.3103,1.0,True
64,disagreement,Other,0.3103,1.0,True
65,disagreement,Other,0.2304,1.0,False
65,disagreement,Other,0.2304,1.0,False
65,disagreement,Media Bias,0.2304,1.0,False
66,inconclusive,Other,0.0453,1.0,False
66,inconclusive,Other,0.0453,1.0,False
66,inconclusive,Other,0.0453,1.0,False
67,agreement,Other,0.0579,1.0,False
67,agreement,Other,0.0579,1.0,False
67,agreement,Other,0.0579,1.0,False
68,agreement,Other,0.2343,1.0,False
68,agreement,Other,0.2343,1.0,False
68,agreement,Other,0.2343,1.0,False
69,disagreement,Other,0.1607,1.0,False
69,disagreement,Other,0.1607,1.0,False
69,disagreement,Other,0.1607,1.0,False
70,inconclusive,Other,0.19,1.0,True
70,inconclusive,Other,0.19,1.0,True
70,inconclusive,Other,0.19,1.0,True
70,inconclusive,Other,0.19,1.0,True
71,disagreement,Other,0.252,1.0,False
71,disagreement,Other,0.252,1.0,False
71,disagreement,Other,0.252,1.0,False
72,inconclusive,Other,0.1219,1.0,False
72,inconclusive,Other,0.1219,1.0,False
72,inconclusive,Other,0.1219,1.0,False
73,inconclusive,Other,0.199,1.0,False
73,inconclusive,Interviews/Podcasts,0.199,1.0,False
73,inconclusive,Other,0.199,1.0,False
74,disagreement,Other,0.182,1.0,False
74,disagreement,Other,0.182,1.0,False
74,disagreement,Other,0.182,1.0,False
75,inconclusive,Other,0.19,1.0,False
75,inconclusive,Interviews/Podcasts,0.19,1.0,False
75,inconclusive,Other,0.19,1.0,False
76,inconclusive,Other,0.0252,1.0,False
76,inconclusive,Other,0.0252,1.0,False
76,inconclusive,Other,0.0252,1.0,False
77,inconclusive,Other,0.064,1.0,False
77,inconclusive,Trump,0.064,1.0,False
77,inconclusive,Other,0.064,1.0,False
78,inconclusive,Trump,0.0618,1.0,False
78,inconclusive,Other,0.0618,1.0,False
78,inconclusive,Other,0.0618,1.0,False
79,inconclusive,Other,0.1531,1.0,False
79,inconclusive,Other,0.1531,1.0,False
79,inconclusive,Other,0.1531,1.0,False
80,inconclusive,Other,0.0439,1.0,False
80,inconclusive,Other,0.0439,1.0,False
80,inconclusive,Other,0.0439,1.0,False
81,disagreement,Other,0.2456,1.0,False
81,disagreement,Trump,0.2456,1.0,False
81,disagreement,Other,0.2456,1.0,False
81,disagreement,Other,0.2456,1.0,False
82,disagreement,Other,0.027,1.0,False
82,disagreement,Interviews/Podcasts,0.027,1.0,False
82,disagreement,Other,0.027,1.0,False
83,disagreement,Other,0.11,1.0,False
83,disagreement,Tariffs and Economy,0.11,1.0,False
83,disagreement,Other,0.11,1.0,False
84,disagreement,Other,0.1097,1.0,False
84,disagreement,Other,0.1097,1.0,False
84,disagreement,Other,0.1097,1.0,False
85,inconclusive,Other,0.1539,1.0,False
85,inconclusive,Other,0.1539,1.0,False
85,inconclusive,Other,0.1539,1.0,False
86,inconclusive,Other,0.0376,1.0,False
86,inconclusive,Interviews/Podcasts,0.0376,1.0,False
86,inconclusive,Other,0.0376,1.0,False
87,inconclusive,Other,0.0918,1.0,True
87,inconclusive,Other,0.0918,1.0,True
87,inconclusive,Other,0.0918,1.0,True
88,disagreement,Other,0.152,1.0,True
88,disagreement,Other,0.152,1.0,True
88,disagreement,Media Bias,0.152,1.0,True
89,disagreement,Other,0.2526,1.0,False
89,disagreement,Other,0.2526,1.0,False
89,disagreement,Other,0.2526,1.0,False
90,disagreement,Other,0.3044,1.0,False
90,disagreement,Other,0.3044,1.0,False
90,disagreement,Other,0.3044,1.0,False
90,disagreement,Media Bias,0.3044,1.0,False
90,disagreement,Other,0.3044,1.0,False
91,disagreement,Other,0.2655,1.0,False
91,disagreement,Other,0.2655,1.0,False
91,disagreement,Media Bias,0.2655,1.0,False
91,disagreement,Other,0.2655,1.0,False
92,disagreement,Cognitive Decline,0.3293,1.0,False
92,disagreement,Other,0.3293,1.0,False
92,disagreement,Other,0.3293,1.0,False
92,disagreement,Media Bias,0.3293,1.0,False
92,disagreement,Other,0.3293,1.0,False
93,disagreement,Cognitive Decline,0.2695,1.0,False
93,disagreement,Other,0.2695,1.0,False
93,disagreement,Other,0.2695,1.0,False
93,disagreement,Media Bias,0.2695,1.0,False
93,disagreement,Other,0.2695,1.0,False
94,disagreement,Cognitive Decline,0.2871,1.0,False
94,disagreement,Other,0.2871,1.0,False
94,disagreement,Other,0.2871,1.0,False
94,disagreement,Media Bias,0.2871,1.0,False
94,disagreement,Other,0.2871,1.0,False
95,disagreement,Cognitive Decline,0.3087,1.0,False
95,disagreement,Other,0.3087,1.0,False
95,disagreement,Other,0.3087,1.0,False
95,disagreement,Media Bias,0.3087,1.0,False
95,disagreement,Other,0.3087,1.0,False
96,disagreement,Cognitive Decline,0.3092,1.0,False
96,disagreement,Other,0.3092,1.0,False
96,disagreement,Other,0.3092,1.0,False
96,disagreement,Media Bias,0.3092,1.0,False
97,inconclusive,Other,0.2683,1.0,False
97,inconclusive,Other,0.2683,1.0,False
97,inconclusive,Other,0.2683,1.0,False
97,inconclusive,Trump,0.2683,1.0,False
98,disagreement,Cognitive Decline,0.4067,1.0,False
98,disagreement,Other,0.4067,1.0,False
98,disagreement,Other,0.4067,1.0,False
99,disagreement,Other,0.3986,1.0,False
99,disagreement,Media Bias,0.3986,1.0,False
99,disagreement,Other,0.3986,1.0,False
99,disagreement,Trump,0.3986,1.0,False
100,inconclusive,Other,0.3329,1.0,False
100,inconclusive,Media Bias,0.3329,1.0,False
100,inconclusive,Other,0.3329,1.0,False
100,inconclusive,Other,0.3329,1.0,False
101,disagreement,Other,0.4111,1.0,False
101,disagreement,Media Bias,0.4111,1.0,False
101,disagreement,Other,0.4111,1.0,False
101,disagreement,Other,0.4111,1.0,False
102,disagreement,Cognitive Decline,0.2802,1.0,False
102,disagreement,Other,0.2802,1.0,False
102,disagreement,Media Bias,0.2802,1.0,False
102,disagreement,Other,0.2802,1.0,False
102,disagreement,Other,0.2802,1.0,False
103,inconclusive,Cognitive Decline,0.2563,1.0,False
103,inconclusive,Other,0.2563,1.0,False
103,inconclusive,Other,0.2563,1.0,False
103,inconclusive,Other,0.2563,1.0,False
104,disagreement,Cognitive Decline,0.2744,1.0,False
104,disagreement,Other,0.2744,1.0,False
104,disagreement,Other,0.2744,1.0,False
104,disagreement,Other,0.2744,1.0,False
105,disagreement,Cognitive Decline,0.2845,1.0,False
105,disagreement,Media Bias,0.2845,1.0,False
105,disagreement,Other,0.2845,1.0,False
105,disagreement,Other,0.2845,1.0,False
105,disagreement,Other,0.2845,1.0,False
106,disagreement,Cognitive Decline,0.3068,1.0,False
106,disagreement,Other,0.3068,1.0,False
106,disagreement,Media Bias,0.3068,1.0,False
106,disagreement,Other,0.3068,1.0,False
106,disagreement,Other,0.3068,1.0,False
107,inconclusive,Cognitive Decline,0.2667,1.0,False
107,inconclusive,Media Bias,0.2667,1.0,False
107,inconclusive,Other,0.2667,1.0,False
107,inconclusive,Other,0.2667,1.0,False
108,disagreement,Cognitive Decline,0.2796,1.0,False
108,disagreement,Other,0.2796,1.0,False
108,disagreement,Other,0.2796,1.0,False
108,disagreement,Media Bias,0.2796,1.0,False
108,disagreement,Other,0.2796,1.0,False
109,disagreement,Other,0.2694,1.0,False
109,disagreement,Other,0.2694,1.0,False
109,disagreement,Other,0.2694,1.0,False
109,disagreement,Media Bias,0.2694,1.0,False
110,disagreement,Other,0.2575,1.0,False
110,disagreement,Other,0.2575,1.0,False
110,disagreement,Media Bias,0.2575,1.0,False
111,disagreement,Other,0.2805,1.0,False
111,disagreement,Other,0.2805,1.0,False
111,disagreement,Other,0.2805,1.0,False
111,disagreement,Media Bias,0.2805,1.0,False
112,disagreement,Cognitive Decline,0.2589,1.0,False
112,disagreement,Other,0.2589,1.0,False
112,disagreement,Other,0.2589,1.0,False
112,disagreement,Other,0.2589,1.0,False
112,disagreement,Media Bias,0.2589,1.0,False
113,inconclusive,Other,0.0265,1.0,False
113,inconclusive,Other,0.0265,1.0,False
113,inconclusive,Other,0.0265,1.0,False
114,inconclusive,Other,0.0615,1.0,False
114,inconclusive,Other,0.0615,1.0,False
114,inconclusive,Other,0.0615,1.0,False
115,disagreement,Interviews/Podcasts,0.1692,1.0,False
115,disagreement,Other,0.1692,1.0,False
115,disagreement,Other,0.1692,1.0,False
116,disagreement,Other,0.2128,1.0,False
116,disagreement,Other,0.2128,1.0,False
116,disagreement,Other,0.2128,1.0,False
117,disagreement,Other,0.1954,1.0,False
117,disagreement,Other,0.1954,1.0,False
117,disagreement,Other,0.1954,1.0,False
118,inconclusive,Other,0.0207,1.0,False
118,inconclusive,Other,0.0207,1.0,False
118,inconclusive,Other,0.0207,1.0,False
119,disagreement,Other,0.1024,1.0,False
119,disagreement,Other,0.1024,1.0,False
119,disagreement,Other,0.1024,1.0,False
120,disagreement,Other,0.2313,1.0,False
120,disagreement,Other,0.2313,1.0,False
120,disagreement,Other,0.2313,1.0,False
121,disagreement,Other,0.0955,1.0,False
121,disagreement,Other,0.0955,1.0,False
121,disagreement,Other,0.0955,1.0,False
122,disagreement,Other,0.0907,1.0,False
122,disagreement,Other,0.0907,1.0,False
122,disagreement,Other,0.0907,1.0,False
122,disagreement,Other,0.0907,1.0,False
123,disagreement,Other,0.0882,1.0,False
123,disagreement,Trump,0.0882,1.0,False
123,disagreement,Other,0.0882,1.0,False
124,disagreement,Other,0.1344,1.0,False
124,disagreement,Other,0.1344,1.0,False
124,disagreement,Other,0.1344,1.0,False
125,disagreement,Other,0.1484,1.0,False
125,disagreement,Other,0.1484,1.0,False
125,disagreement,Other,0.1484,1.0,False
126,inconclusive,Other,0.1265,1.0,False
126,inconclusive,Other,0.1265,1.0,False
126,inconclusive,Other,0.1265,1.0,False
127,disagreement,Other,0.0715,1.0,False
127,disagreement,Other,0.0715,1.0,False
127,disagreement,Other,0.0715,1.0,False
128,disagreement,Other,0.083,1.0,False
128,disagreement,Other,0.083,1.0,False
128,disagreement,Other,0.083,1.0,False
129,disagreement,Other,0.1067,1.0,False
129,disagreement,Other,0.1067,1.0,False
129,disagreement,Other,0.1067,1.0,False
129,disagreement,Other,0.1067,1.0,False
130,disagreement,Other,0.0679,1.0,False
130,disagreement,Other,0.0679,1.0,False
130,disagreement,Other,0.0679,1.0,False
131,disagreement,Other,0.0669,1.0,True
131,disagreement,Other,0.0669,1.0,True
131,disagreement,Other,0.0669,1.0,True
132,inconclusive,Tariffs and Economy,0.0254,1.0,False
132,inconclusive,Other,0.0254,1.0,False
